collection,context_precision,context_recall,faithfulness,answer_relevancy,average
finance_recursive_size1200,0.9576666666462611,0.8816867413632119,0.6921773136120961,0.36088800588159237,0.7231046818757902
finance_character_size800,0.8992777777587366,0.8613749972078145,0.7157496392496392,0.38043965095338206,0.7142105162923931
housing_semantic_t85,0.7995555555372204,0.6906601546601547,0.6335738588896482,0.2977066049476877,0.6053740435086777
housing_recursive_size800,0.7873333333109832,0.7133383413971649,0.5349696414696415,0.36914775004793376,0.6011972665564309
